sub_ID_niak,fold_0,fold_1,fold_2,fold_3,fold_4
s14806xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14812xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14814xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14817xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14821xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14837xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14839xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14844xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14845xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14846xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14847xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14849xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14851xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14856xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14860xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14878xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14882xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14884xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14885xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14886xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14911xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14914xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14915xx2xFCAP1,0.0,0.0,0.0,0.0,1.0
s14915xx3xFCAP1,0.0,0.0,0.0,0.0,1.0
s14919xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14923xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14931xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14933xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14937xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14938xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14948xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14955xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14959xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s14960xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14961xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14962xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14972xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14973xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14985xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
s14987xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s14988xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s14994xx1xFCAP1,0.0,0.0,0.0,0.0,1.0
s14994xx2xFCAP1,1.0,0.0,0.0,0.0,0.0
s14999xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s15031xx1xFCAP1,0.0,0.0,1.0,0.0,0.0
s15067xx1xFCAP1,0.0,1.0,0.0,0.0,0.0
s15071xx1xFCAP1,0.0,0.0,0.0,1.0,0.0
s15081xx1xFCAP1,1.0,0.0,0.0,0.0,0.0
