sub_ID_niak,fold_0,fold_1,fold_2,fold_3,fold_4
subx0023001,0.0,0.0,1.0,0.0,0.0
subx0023010,0.0,0.0,0.0,0.0,1.0
subx0023011,0.0,0.0,0.0,1.0,0.0
subx0023013,0.0,0.0,0.0,0.0,1.0
subx0023016,0.0,0.0,0.0,0.0,1.0
subx0023017,1.0,0.0,0.0,0.0,0.0
subx0023018,0.0,0.0,0.0,1.0,0.0
subx0023019,0.0,1.0,0.0,0.0,0.0
subx0023020,0.0,1.0,0.0,0.0,0.0
subx0023030,1.0,0.0,0.0,0.0,0.0
subx0023031,1.0,0.0,0.0,0.0,0.0
subx0023035,1.0,0.0,0.0,0.0,0.0
subx0023037,0.0,0.0,1.0,0.0,0.0
subx0023038,1.0,0.0,0.0,0.0,0.0
subx0023039,0.0,0.0,0.0,0.0,1.0
subx0023040,0.0,1.0,0.0,0.0,0.0
subx1418396,0.0,1.0,0.0,0.0,0.0
subx1421489,0.0,0.0,0.0,1.0,0.0
subx1502229,1.0,0.0,0.0,0.0,0.0
subx1548937,0.0,1.0,0.0,0.0,0.0
subx1664335,0.0,0.0,0.0,1.0,0.0
subx1679142,0.0,1.0,0.0,0.0,0.0
subx2155356,0.0,0.0,1.0,0.0,0.0
subx2232376,0.0,1.0,0.0,0.0,0.0
subx2426523,0.0,0.0,1.0,0.0,0.0
subx2427434,0.0,0.0,0.0,1.0,0.0
subx2578455,0.0,0.0,0.0,1.0,0.0
subx2947936,0.0,0.0,0.0,1.0,0.0
subx2959809,0.0,0.0,1.0,0.0,0.0
subx3051944,0.0,0.0,1.0,0.0,0.0
subx3162671,0.0,0.0,0.0,0.0,1.0
subx3212875,0.0,0.0,1.0,0.0,0.0
subx3302025,0.0,0.0,0.0,0.0,1.0
subx3848511,0.0,1.0,0.0,0.0,0.0
subx3869075,1.0,0.0,0.0,0.0,0.0
subx3899622,1.0,0.0,0.0,0.0,0.0
subx6592761,0.0,0.0,0.0,1.0,0.0
subx8064456,0.0,0.0,0.0,0.0,1.0
subx8218392,0.0,0.0,1.0,0.0,0.0
