sub_ID_niak,fold_0,fold_1,fold_2,fold_3,fold_4
sCH1840,1.0,0.0,0.0,0.0,0.0
sCH7059b,0.0,0.0,1.0,0.0,0.0
sCH7131b,0.0,0.0,0.0,0.0,1.0
sCH7172a,1.0,0.0,0.0,0.0,0.0
sCH7317b,0.0,0.0,0.0,1.0,0.0
sCH7496a,0.0,0.0,0.0,0.0,1.0
sCH7546a,0.0,0.0,1.0,0.0,0.0
sCH7567b,0.0,0.0,1.0,0.0,0.0
sCH7674b,1.0,0.0,0.0,0.0,0.0
sCH7692a,0.0,0.0,0.0,1.0,0.0
sCH7814b,0.0,1.0,0.0,0.0,0.0
sCH7869b,0.0,0.0,1.0,0.0,0.0
sCH7877a,1.0,0.0,0.0,0.0,0.0
sCH7930a,0.0,0.0,0.0,1.0,0.0
sCH8001a,0.0,1.0,0.0,0.0,0.0
sCH8033a,0.0,0.0,0.0,0.0,1.0
sCH8095a,1.0,0.0,0.0,0.0,0.0
sCH8126b,0.0,0.0,0.0,0.0,1.0
sCH8284b,0.0,0.0,1.0,0.0,0.0
sCH8288a,0.0,0.0,0.0,1.0,0.0
sCH8301a,0.0,0.0,0.0,0.0,1.0
sCH8350b,0.0,1.0,0.0,0.0,0.0
sCH8402b,0.0,0.0,0.0,1.0,0.0
sCH8413a,0.0,1.0,0.0,0.0,0.0
sCH8461a,1.0,0.0,0.0,0.0,0.0
sCH8508a,0.0,0.0,0.0,0.0,1.0
sCH8559b,0.0,1.0,0.0,0.0,0.0
sCH8593b,0.0,0.0,0.0,1.0,0.0
sCH8860b,0.0,1.0,0.0,0.0,0.0
sCH8914b,0.0,0.0,1.0,0.0,0.0
sCH8926b,1.0,0.0,0.0,0.0,0.0
